operator_id,calls_missed_ratio,avg_wait_time,calls_out_ratio,calls_in_ratio,internal_calls_ratio,crit_calls_missed,crit_wait_time,crit_low_outbound,crit_low_inbound,crit_high_internal,inefficiency_score,criterios_negativos,efficiency_class,uso_interno_excesivo,efficiency_binary
892536,0.0,52.90909090909091,44.82758620689656,55.172413793103445,0.0,0,1,0,0,0,1,1,Eficiente,False,1.0
892538,0.0,50.0,92.06349206349206,7.936507936507936,0.0,0,1,0,0,0,1,1,Eficiente,False,1.0
892798,0.0,43.0,97.2972972972973,2.702702702702702,0.0,0,0,0,0,0,0,0,Eficiente,False,1.0
893172,0.0,38.91304347826087,7.317073170731707,92.6829268292683,8.0,0,0,1,0,0,1,1,Eficiente,False,1.0
893400,0.0,19.5,60.0,40.0,40.0,0,0,0,0,1,1,1,Eficiente,True,1.0
893402,0.8875739644970414,67.7439024390244,13.110539845758352,86.88946015424165,5.982905982905983,1,1,1,0,0,3,3,Ineficiente,False,0.0
893420,0.4854368932038834,82.76470588235294,12.340425531914894,87.65957446808511,5.555555555555555,1,1,1,0,0,3,3,Ineficiente,False,0.0
893804,0.3699136868064118,116.42990654205607,58.38179952104002,41.61820047895997,9.688581314878892,1,1,0,0,0,2,2,Potencialmente ineficiente,False,
894120,5.555555555555555,47.55555555555556,0.0,100.0,0.0,1,1,1,0,0,3,3,Ineficiente,False,0.0
894224,9.090909090909092,12.77777777777778,75.0,25.0,82.35294117647058,1,0,0,0,1,2,2,Potencialmente ineficiente,True,
894230,16.666666666666664,31.666666666666668,71.42857142857143,28.57142857142857,91.66666666666666,1,0,0,0,1,2,2,Potencialmente ineficiente,True,
894232,25.0,14.333333333333334,80.0,20.0,100.0,1,0,0,0,1,2,2,Potencialmente ineficiente,True,
894614,12.5,19.166666666666668,0.0,100.0,0.0,1,0,1,0,0,2,2,Potencialmente ineficiente,False,
894656,0.0,32.2,99.37245058048322,0.6275494195167869,0.0,0,0,0,0,0,0,0,Eficiente,False,1.0
894662,0.0,9.0,97.36842105263158,2.631578947368421,11.11111111111111,0,0,0,0,0,0,0,Eficiente,False,1.0
895140,0.0,76.0,0.0,100.0,0.0,0,1,1,0,0,2,2,Potencialmente ineficiente,False,
895170,0.0,16.1,0.0,100.0,0.0,0,0,1,0,0,1,1,Eficiente,False,1.0
895172,0.0,15.333333333333334,91.11111111111111,8.88888888888889,5.128205128205128,0,0,0,0,0,0,0,Eficiente,False,1.0
895266,0.0,10.0,33.33333333333333,66.66666666666666,0.0,0,0,0,0,0,0,0,Eficiente,False,1.0
895574,1.0416666666666663,30.97872340425532,0.0,100.0,0.0,1,0,1,0,0,2,2,Potencialmente ineficiente,False,
895576,1.4285714285714286,30.175,0.0,100.0,0.0,1,0,1,0,0,2,2,Potencialmente ineficiente,False,
895578,0.0,22.81081081081081,0.0,100.0,0.0,0,0,1,0,0,1,1,Eficiente,False,1.0
